model,accuracy,error_rate,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,total_rows_used,correct_count,wrong_count
qwen_qwen3_6_plus_sentiment,0.8296593186372746,0.1703406813627254,0.6075661060696965,0.6035144166723114,0.605113671176139,0.8254839230733855,0.8296593186372746,0.8271622467050121,499,414,85
google_gemma_4_26b_a4b_it_sentiment,0.8096192384769539,0.19038076152304606,0.5892386835783534,0.5945855630066157,0.5912329726994516,0.814414995772049,0.8096192384769539,0.8113701089953181,499,404,95
mistralai_mistral_small_2603_sentiment,0.7655310621242485,0.23446893787575152,0.5564931259886718,0.5425404728036307,0.5462450867284655,0.7567260868685902,0.7655310621242485,0.7579984510560904,499,382,117
openai_gpt_5_4_nano_sentiment,0.751503006012024,0.24849699398797598,0.43604781536984927,0.43950371424055634,0.4375159642401022,0.7543171940373122,0.751503006012024,0.7524627799660625,499,375,124
xiaomi_mimo_v2_flash_sentiment,0.749498997995992,0.25050100200400804,0.448278037130312,0.45425410372778796,0.44395828404483006,0.790493357132983,0.749498997995992,0.7601753688116027,499,374,125
deepseek_deepseek_v3_2_sentiment,0.7434869739478958,0.25651302605210424,0.5577645559573404,0.5654468378152588,0.5501437024752364,0.790787628195774,0.7434869739478958,0.7545056707878629,499,371,128
anthropic_claude_3_5_haiku_sentiment,0.7034068136272545,0.29659318637274545,0.5620435461188166,0.55160084896927,0.5277890097149333,0.8040746484188092,0.7034068136272545,0.7218497480724989,499,351,148
x_ai_grok_4_20_multi_agent_sentiment,0.6052104208416834,0.3947895791583166,0.40656543887147334,0.3504662557294136,0.34289400921658986,0.6886729964631457,0.6052104208416834,0.5896981058891977,499,302,197
